time;cwnd1;cwnd2;cwnd3;rtt1;rtt2;rtt3;bytes1;bytes2;bytes3
100;180552.35999999999;1460;1460;0.17999999999999999;0.0;0.0;69934540;0;0
101;184557.14000000001;1460;1460;0.17999999999999999;0.0;0.0;70944040;0;0
102;188488.92000000001;1460;1460;0.17999999999999999;0.0;0.0;71994040;0;0
103;192483.47999999998;1460;1460;0.17999999999999999;0.0;0.0;73057540;0;0
104;196451.76000000001;1460;1460;0.17999999999999999;0.0;0.0;74148040;0;0
105;200415.65999999997;1460;1460;0.19;0.0;0.0;75261040;0;0
106;204397.07999999999;1460;1460;0.17999999999999999;0.0;0.0;76389040;0;0
107;208352.22;1460;1460;0.17999999999999999;0.0;0.0;77548540;0;0
108;212324.88;1460;1460;0.17999999999999999;0.0;0.0;78723040;0;0
109;216293.15999999997;1460;1460;0.19;0.0;0.0;79918540;0;0
110;220249.75999999998;1460;1460;0.17999999999999999;0.0;0.0;81139540;0;0
111;111857.75400000002;1460;1460;0.17999999999999999;0.0;0.0;82341040;0;0
112;115477.386;1460;1460;0.19;0.0;0.0;82945540;0;0
113;119237.47;1460;1460;0.17999999999999999;0.0;0.0;83632540;0;0
114;123401.974;1460;1460;0.17999999999999999;0.0;0.0;84271540;0;0
115;127128.91600000001;1460;1460;0.17999999999999999;0.0;0.0;85011040;0;0
116;131302.764;1460;1460;0.17999999999999999;0.0;0.0;85687540;0;0
117;135000.94399999999;1460;1460;0.17999999999999999;0.0;0.0;86470540;0;0
118;139153.18400000001;1460;1460;0.17999999999999999;0.0;0.0;87187540;0;0
119;142886.842;1460;1460;0.19;0.0;0.0;88011040;0;0
120;147004.48000000001;1460;1460;0.19;0.0;0.0;88780540;0;0
121;150799.02000000002;1460;1460;0.17999999999999999;0.0;0.0;89640040;0;0
122;154870.95999999999;1460;1460;0.17999999999999999;0.0;0.0;90463540;0;0
123;158719.52000000002;1460;1460;0.17999999999999999;0.0;0.0;91362040;0;0
124;162763.72;1460;1460;0.17999999999999999;0.0;0.0;92239540;0;0
125;166645.86000000002;1460;1460;0.17999999999999999;0.0;0.0;93175540;0;0
126;170678.38;1460;1460;0.17999999999999999;0.0;0.0;94105540;0;0
127;174592.64000000001;1460;1460;0.17999999999999999;0.0;0.0;95080540;0;0
128;178588.66;1460;1460;0.17999999999999999;0.0;0.0;96063040;0;0
129;182542.34;1460;1460;0.17999999999999999;0.0;0.0;97077040;0;0
130;186528.14000000001;1460;1460;0.17999999999999999;0.0;0.0;98110540;0;0
131;190497.88;1460;1460;0.17999999999999999;0.0;0.0;99165040;0;0
132;194461.78000000003;1460;1460;0.17999999999999999;0.0;0.0;100245040;0;0
133;198444.65999999997;1460;1460;0.17999999999999999;0.0;0.0;101341540;0;0
134;202401.26000000001;1460;1460;0.19;0.0;0.0;102463540;0;0
135;206373.92000000001;1460;1460;0.19;0.0;0.0;103606540;0;0
136;210323.21999999997;1460;1460;0.17999999999999999;0.0;0.0;104773540;0;0
137;214298.79999999999;1460;1460;0.17999999999999999;0.0;0.0;105955540;0;0
138;218252.48000000001;1460;1460;0.19;0.0;0.0;107164540;0;0
139;222220.75999999998;1460;1460;0.17999999999999999;0.0;0.0;108393040;0;0
140;113736.336;1460;1460;0.17999999999999999;0.0;0.0;109179040;0;0
141;117588.40000000001;1460;1460;0.19;0.0;0.0;109837540;0;0
142;121634.06000000001;1460;1460;0.19;0.0;0.0;110482540;0;0
143;125447.43399999999;1460;1460;0.17999999999999999;0.0;0.0;111195040;0;0
144;129543.902;1460;1460;0.17999999999999999;0.0;0.0;111876040;0;0
145;133322.96599999999;1460;1460;0.17999999999999999;0.0;0.0;112644040;0;0
146;137463.818;1460;1460;0.17999999999999999;0.0;0.0;113361040;0;0
147;141227.114;1460;1460;0.17999999999999999;0.0;0.0;114175540;0;0
148;145333.50999999998;1460;1460;0.19;0.0;0.0;114936040;0;0
149;149127.32000000001;1460;1460;0.17999999999999999;0.0;0.0;115786540;0;0
150;153202.18000000002;1460;1460;0.17999999999999999;0.0;0.0;116604040;0;0
151;157063.88;1460;1460;0.17999999999999999;0.0;0.0;117492040;0;0
152;161109.54000000001;1460;1460;0.17999999999999999;0.0;0.0;118362040;0;0
153;164980;1460;1460;0.17999999999999999;0.0;0.0;119290540;0;0
154;169027.12;1460;1460;0.19;0.0;0.0;120201040;0;0
155;172891.73999999999;1460;1460;0.19;0.0;0.0;121177540;0;0
156;88505.199999999997;1460;1460;0.17999999999999999;0.0;0.0;121935040;0;0
157;92509.542000000001;1460;1460;0.19;0.0;0.0;122421040;0;0
158;96303.206000000006;1460;1460;0.17999999999999999;0.0;0.0;122961040;0;0
159;100378.64999999999;1460;1460;0.17999999999999999;0.0;0.0;123484540;0;0
160;104131.288;1460;1460;0.17999999999999999;0.0;0.0;124080040;0;0
161;108266.44600000001;1460;1460;0.17999999999999999;0.0;0.0;124639540;0;0
162;112002.29399999999;1460;1460;0.17999999999999999;0.0;0.0;125287540;0;0
163;116187.53;1460;1460;0.17999999999999999;0.0;0.0;125886040;0;0
164;119889.798;1460;1460;0.19;0.0;0.0;126585040;0;0
165;124066.712;1460;1460;0.19;0.0;0.0;127224040;0;0
166;127807.524;1460;1460;0.17999999999999999;0.0;0.0;127963540;0;0
167;131959.91;1460;1460;0.17999999999999999;0.0;0.0;128647540;0;0
168;135687.43599999999;1460;1460;0.17999999999999999;0.0;0.0;129429040;0;0
169;139819.236;1460;1460;0.17999999999999999;0.0;0.0;130158040;0;0
170;143580.196;1460;1460;0.17999999999999999;0.0;0.0;130983040;0;0
171;147693.60000000001;1460;1460;0.17999999999999999;0.0;0.0;131760040;0;0
172;151498.36000000002;1460;1460;0.17999999999999999;0.0;0.0;132624040;0;0
173;155565.92000000001;1460;1460;0.17999999999999999;0.0;0.0;133453540;0;0
174;159423.23999999999;1460;1460;0.17999999999999999;0.0;0.0;134353540;0;0
175;163464.52000000002;1460;1460;0.17999999999999999;0.0;0.0;135237040;0;0
176;167368.56;1460;1460;0.17999999999999999;0.0;0.0;136174540;0;0
177;171370.41999999998;1460;1460;0.17999999999999999;0.0;0.0;137115040;0;0
178;175318.26000000001;1460;1460;0.17999999999999999;0.0;0.0;138088540;0;0
179;179309.89999999999;1460;1460;0.19;0.0;0.0;139081540;0;0
180;183284.02000000002;1460;1460;0.19;0.0;0.0;140094040;0;0
181;187230.40000000002;1460;1460;0.17999999999999999;0.0;0.0;141139540;0;0
182;191229.34000000003;1460;1460;0.17999999999999999;0.0;0.0;142189540;0;0
183;195180.10000000001;1460;1460;0.17999999999999999;0.0;0.0;143274040;0;0
184;199146.91999999998;1460;1460;0.17999999999999999;0.0;0.0;144375040;0;0
185;203110.81999999998;1460;1460;0.17999999999999999;0.0;0.0;145501540;0;0
186;207092.23999999999;1460;1460;0.17999999999999999;0.0;0.0;146644540;0;0
187;211037.15999999997;1460;1460;0.19;0.0;0.0;147816040;0;0
188;215009.82000000001;1460;1460;0.17999999999999999;0.0;0.0;149002540;0;0
189;218969.34000000003;1460;1460;0.19;0.0;0.0;150216040;0;0
190;111352.448;1460;1460;0.17999999999999999;0.0;0.0;151266040;0;0
191;114616.56999999999;1460;1460;0.17999999999999999;0.0;0.0;152070040;0;0
192;118565.87000000001;1460;1460;0.17999999999999999;0.0;0.0;152716540;0;0
193;122475.02;1460;1460;0.17999999999999999;0.0;0.0;153394540;0;0
194;126482.28199999999;1460;1460;0.17999999999999999;0.0;0.0;154077040;0;0
195;130350.114;1460;1460;0.17999999999999999;0.0;0.0;154810540;0;0
196;134408.18400000001;1460;1460;0.17999999999999999;0.0;0.0;155526040;0;0
197;138239.22399999999;1460;1460;0.17999999999999999;0.0;0.0;156315040;0;0
198;142356.86199999999;1460;1460;0.17999999999999999;0.0;0.0;157069540;0;0
199;146154.75999999998;1460;1460;0.17999999999999999;0.0;0.0;157900540;0;0
200;150239.84;1460;1460;0.17999999999999999;0.0;0.0;158700040;0;0
201;154050.44;1460;1460;0.19;0.0;0.0;159574540;0;0
202;158134.06;1460;1460;0.17999999999999999;0.0;0.0;160416040;0;0
203;80813.627999999997;1460;1460;0.17999999999999999;0.0;0.0;161317540;0;0
204;84426.251999999993;1460;1460;0.17999999999999999;0.0;0.0;161734540;0;0
205;88035.809999999998;1460;1460;0.19;0.0;0.0;162258040;0;0
